Satisfied,Notsatisfied,Gender,Race,Age,Region
288,177,M,W,<35,NE
90,45,M,W,<35,MA
226,128,M,W,<35,S
285,179,M,W,<35,MW
270,180,M,W,<35,NW
252,126,M,W,<35,SW
119,58,M,W,<35,P
224,166,M,W,35-44,NE
96,42,M,W,35-44,MA
189,117,M,W,35-44,S
225,141,M,W,35-44,MW
215,108,M,W,35-44,NW
162,72,M,W,35-44,SW
66,20,M,W,35-44,P
337,172,M,W,>44,NE
124,39,M,W,>44,MA
156,73,M,W,>44,S
324,140,M,W,>44,MW
269,136,M,W,>44,NW
199,93,M,W,>44,SW
67,21,M,W,>44,P
38,33,M,O,<35,NE
18,6,M,O,<35,MA
45,31,M,O,<35,S
40,25,M,O,<35,MW
36,20,M,O,<35,NW
69,27,M,O,<35,SW
45,16,M,O,<35,P
32,11,M,O,35-44,NE
7,2,M,O,35-44,MA
18,3,M,O,35-44,S
19,11,M,O,35-44,MW
9,7,M,O,35-44,NW
14,7,M,O,35-44,SW
15,10,M,O,35-44,P
21,8,M,O,>44,NE
9,2,M,O,>44,MA
11,2,M,O,>44,S
22,2,M,O,>44,MW
16,3,M,O,>44,NW
14,5,M,O,>44,SW
8,6,M,O,>44,P
60,57,F,W,<35,NE
19,12,F,W,<35,MA
88,57,F,W,<35,S
110,93,F,W,<35,MW
176,151,F,W,<35,NW
97,61,F,W,<35,SW
62,33,F,W,<35,P
35,19,F,W,35-44,NE
12,5,F,W,35-44,MA
44,34,F,W,35-44,S
53,24,F,W,35-44,MW
80,40,F,W,35-44,NW
47,27,F,W,35-44,SW
20,10,F,W,35-44,P
70,30,F,W,>44,NE
17,2,F,W,>44,MA
70,25,F,W,>44,S
60,47,F,W,>44,MW
110,40,F,W,>44,NW
62,24,F,W,>44,SW
25,10,F,W,>44,P
19,35,F,O,<35,NE
13,7,F,O,<35,MA
47,35,F,O,<35,S
66,56,F,O,<35,MW
25,16,F,O,<35,NW
45,36,F,O,<35,SW
22,15,F,O,<35,P
22,20,F,O,35-44,NE
0,3,F,O,35-44,MA
13,7,F,O,35-44,S
25,19,F,O,35-44,MW
11,5,F,O,35-44,NW
8,4,F,O,35-44,SW
10,8,F,O,35-44,P
15,10,F,O,>44,NE
1,1,F,O,>44,MA
9,2,F,O,>44,S
11,12,F,O,>44,MW
4,5,F,O,>44,NW
2,0,F,O,>44,SW
6,2,F,O,>44,P
